#,Nation,Corrupción 2021[6],,Corrupción 2020[17],,Corrupción 2019[18],,Corrupción 2018[19],,Corrupción 2017[20],,Corrupción 2016[21],,Corrupción 2015[22],,Corrupción 2014[23],,Corrupción 2013[24],
,,Score,Δ,Score,Δ,Score,Δ,Score,Δ,Score,Δ,Score,Δ,Score,Δ,Score,Δ,Score,Δ
174,Afghanistan,16,3,19,3,16,,16,1,15,,15,4,11,1,12,4,8,
110,Albania,35,1,36,1,35,1,36,2,38,1,39,3,36,3,33,2,31,2
117,Algeria,33,3,36,1,35,,35,2,33,1,34,2,36,,36,,36,2
136,Angola,29,2,27,1,26,7,19,,19,1,18,3,15,4,19,4,23,1
96,Argentina,38,4,42,3,45,5,40,1,39,3,36,4,32,2,34,,34,1
58,Armenia,49,,49,7,42,7,35,,35,2,33,2,35,2,37,1,36,2
18,Australia,73,4,77,,77,,77,,77,2,79,,79,1,80,1,81,4
13,Austria,74,2,76,1,77,1,76,1,75,,75,1,76,4,72,3,69,
128,Azerbaijan,30,,30,,30,5,25,6,31,1,30,1,29,,29,1,28,1
30,Bahamas,64,1,63,1,64,1,65,,65,1,66,,,,71,,71,
78,Bahrain,42,,42,,42,6,36,,36,7,43,8,51,2,49,1,48,3
147,Bangladesh,26,,26,,26,,26,2,28,2,26,1,25,,25,2,27,1
29,Barbados,65,1,64,2,62,6,68,,68,7,61,,,,74,1,75,1
82,Belarus,41,6,47,2,45,1,44,,44,4,40,8,32,1,31,2,29,2
18,Belgium,73,3,76,1,75,,75,,75,2,77,,77,1,76,1,75,
78,Benin,42,1,41,,41,1,40,1,39,3,36,1,37,2,39,3,36,
25,Bhutan,68,,68,,68,,68,1,67,2,65,,65,,65,2,63,
128,Bolivia,30,1,31,,31,2,29,4,33,,33,1,34,1,35,1,34,
110,Bosnia and Herzegovina,35,,35,1,36,2,38,,38,1,39,1,38,1,39,3,42,
45,Botswana,55,5,60,1,61,,61,,61,1,60,3,63,,63,1,64,1
96,Brazil,38,,38,3,35,,35,2,37,3,40,2,38,5,43,1,42,1
35,Brunei,,,60,,60,3,63,1,62,4,58,,,,,,60,5
78,Bulgaria,42,2,44,1,43,1,42,1,43,2,41,,41,2,43,2,41,
78,Burkina Faso,42,2,40,,40,1,41,1,42,,42,4,38,,38,,38,
165,Burundi,19,,19,,19,2,17,5,22,2,20,1,21,1,20,1,21,2
157,Cambodia,23,2,21,1,20,,20,1,21,,21,,21,,21,1,20,2
144,Cameroon,27,2,25,,25,,25,,25,1,26,1,27,,27,2,25,1
13,Canada,74,3,77,,77,4,81,1,82,,82,1,83,2,81,,81,3
39,Cape Verde,58,,58,,58,1,57,2,55,4,59,4,55,2,57,1,58,2
154,Central African Republic,24,2,26,1,25,1,26,3,23,3,20,4,24,,24,1,25,1
164,Chad,20,1,21,1,20,1,19,1,20,,20,2,22,,22,3,19,
27,Chile,67,,67,,67,,67,,67,1,66,4,70,3,73,2,71,1
66,China,45,3,42,1,41,2,39,2,41,1,40,3,37,1,36,4,40,1
87,Colombia,39,,39,2,37,1,36,1,37,,37,,37,,37,1,36,
164,Comoros,20,1,21,4,25,2,27,,27,3,24,2,26,,26,2,28,
39,Costa Rica,58,1,57,1,56,,56,3,59,1,58,3,55,1,54,1,53,1
63,Croatia,47,,47,,47,1,48,1,49,,49,2,51,3,48,,48,2
64,Cuba,46,1,47,1,48,1,47,,47,,47,,47,1,46,,46,2
52,Cyprus,53,4,57,1,58,1,59,2,57,2,55,6,61,2,63,,63,3
49,Czech Republic,54,,54,2,56,3,59,2,57,2,55,1,56,5,51,3,48,1
162,Democratic Republic of the Congo,21,3,18,,18,1,19,2,21,,21,1,22,,22,,22,1
1,Denmark,88,,88,1,87,1,88,,88,2,90,1,91,1,92,1,91,1
128,Djibouti,30,3,27,3,30,1,31,,31,1,30,4,34,,34,2,36,
45,Dominica,55,,55,,55,2,57,,57,2,59,,,,58,,58,
128,Dominican Republic,30,2,28,,28,2,30,1,29,2,31,2,33,1,32,3,29,3
105,Ecuador,36,3,39,1,38,4,34,2,32,1,31,1,32,1,33,2,35,3
117,Egypt,33,,33,2,35,,35,3,32,2,34,2,36,1,37,5,32,
115,El Salvador,34,2,36,2,34,1,35,2,33,3,36,3,39,,39,1,38,
172,Equatorial Guinea,17,1,16,,16,,16,1,17,2,,,,,,,19,1
161,Eritrea,22,1,21,2,23,1,24,4,20,2,18,,18,,18,2,20,5
13,Estonia,74,1,75,1,74,1,73,2,71,1,70,,70,1,69,1,68,4
122,Eswatini,32,1,33,1,34,4,38,1,39,4,,,,,43,4,39,2
87,Ethiopia,39,1,38,1,37,3,34,1,35,1,34,1,33,,33,,33,
1,Finland,88,3,85,1,86,1,85,,85,4,89,1,90,1,89,,89,1
22,France,71,1,69,,69,3,72,2,70,1,69,1,70,1,69,2,71,
124,Gabon,31,1,30,1,31,,31,1,32,3,35,1,34,3,37,3,34,1
102,Gambia,37,,37,,37,,37,7,30,4,26,2,28,1,29,1,28,6
45,Georgia,55,1,56,,56,2,58,2,56,1,57,5,52,,52,3,49,3
10,Germany,80,,80,,80,,80,1,81,,81,,81,2,79,1,78,1
