Country,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Afghanistan,15.59,19.3,16.98,26.58
Albania,25.42,32.73,30.71,26.58
Algeria,17.18,29.09,14.98,24.77
Argentina,23.83,29.2,33.39,34.56
Armenia,21.5,24.56,27.25,26.13
Australia,62.28,81.14,76.28,99.29
Austria,53,67.62,70.98,78.23
Azerbaijan,20.45,26.23,28.66,25.77
Bahamas,61.33,69.35,89.29,49.31
Bahrain,44.24,46.96,52.27,53.24
Bangladesh,19.74,31.49,20.39,24.07
Barbados,52.63,71.51,72.85,45.34
Belarus,20.42,26.57,31.03,31.96
Belgium,53.83,67.33,82.4,76.54
Belize,32.91,47.82,36.1,45.71
Bermuda,120.13,141.77,157.7,83.43
Bolivia,23.99,31.94,25.24,37.23
Bosnia and Herzegovina,23.54,31.84,25.7,42.56
Botswana,26.23,34.64,41.52,61.95
Brazil,20.5,25.41,22.55,28.66
Brunei,36.97,47.21,35.86,89.03
Bulgaria,26.09,35.24,31.88,40.26
Cambodia,31.98,48.64,23.1,11.4
Cameroon,25.78,42.88,24.67,15.37
Canada,52.12,68.5,63.96,82.76
Chile,32.76,41.82,45.96,33.33
China,30.06,45.49,28.4,57.47
Colombia,20.94,26.28,21.8,26.13
Costa Rica,33.38,48.03,41.33,39.01
Croatia,36.57,49.1,46.13,43.13
Cuba,36.12,46.93,32.85,1.42
Cyprus,44.29,51.68,66.31,52.34
Czech Republic,35.15,42.76,34.68,56.4
Denmark,65.16,72.62,104.92,94.73
Dominican Republic,26.38,36.12,35.28,21.72
Ecuador,26.68,36.42,28.55,30.54
Egypt,18.57,26.53,24.91,19.99
El Salvador,29.64,42.69,33.33,20.72
Estonia,37.25,43.35,56.27,61.22
Ethiopia,35.8,37.47,18.17,10.1
Fiji,33.84,53.43,38.55,30.04
Finland,53.85,65.6,81.22,89.05
France,55.38,77.46,75.48,74.06
Georgia,19.15,24.37,24.22,25.67
Germany,51.04,54.69,65,93.72
Ghana,30.02,41.21,31.53,15.19
Greece,38.07,47.66,55.71,38.95
Guatemala,30.66,41.68,32.45,25.64
Honduras,27.12,35.13,28.73,31.06
Hong Kong,77.22,81.73,58.6,62.45
Hungary,28.42,35.46,34.24,49.81
Iceland,71.16,88.84,102.24,71.88
India,15.9,26.26,17.66,47.13
Indonesia,24.47,39.4,17.99,20.89
Iran,30.13,36.26,25.85,19
Iraq,21.75,27.48,25.64,39.75
Ireland,65.1,67.8,82.34,73.84
Israel,60.48,73.68,91.1,70.36
Italy,49.13,62.46,75.6,58.7
Ivory Coast,38.2,47.15,34.5,6.32
Jamaica,35.37,55.94,33.12,32.21
Japan,59.23,90.47,49.74,76.53
Jordan,31.87,42.76,42.08,33.13
Kazakhstan,19.99,25.61,25.8,34.92
Kenya,23.33,33.38,30.5,27.67
Kosovo (Disputed Territory),19.56,26.86,21.1,40.14
Kuwait,40.82,35.87,45.12,75.32
Kyrgyzstan,15.55,20.57,19.19,22.01
Latvia,33.9,41.36,44.92,45.94
Lebanon,51.13,72.51,62.89,29.49
Libya,14.37,25.3,13.31,31.81
Lithuania,31.88,37.28,45.96,54.6
Luxembourg,75.54,80.71,94.66,95.38
Macao,57.56,66.28,48.93,67.6
Malaysia,25.78,40.2,21.71,56.1
Malta,54.19,63.41,77.04,41.89
Mauritius,33.34,54.15,37.56,27.38
Mexico,23.86,33.64,28.92,35.54
Moldova,21.2,26.07,26.59,26.99
Mongolia,22.05,33.11,23.35,28.09
Montenegro,27.25,32.55,32.54,35.36
Morocco,23.89,32.78,26.33,32.17
Mozambique,25.97,29.07,29.28,16.4
Myanmar,30.25,39.59,21.22,10.67
Namibia,28.25,35.67,35.58,53.28
Nepal,17.24,26.45,19.68,20.63
Netherlands,59.85,61.63,81.62,83.89
New Zealand,58.23,75.03,69.18,81.44
Nicaragua,26.15,41.07,29.47,16.69
Nigeria,29.34,31.23,17.97,9.78
North Macedonia,21.04,28.46,22.46,31.97
Norway,72.68,100.59,105.9,79.43
Oman,34.48,46.9,41.88,84.45
Pakistan,13.36,19.06,17.24,27.28
Palestine,33.95,50.24,36.21,39.1
Panama,39.02,54.77,45.48,32.05
Paraguay,20.71,24.55,24.34,27.51
Peru,24.79,33.83,23.56,28.81
Philippines,26.2,38.91,22.16,19.71
Poland,30.6,33.45,35.38,47.09
Portugal,38.27,42.01,43.24,44.96
Puerto Rico,45.58,72.13,58.12,69.22
Qatar,55.8,56.72,62.58,93.12
Romania,25.25,33.45,32.38,45.19
Russia,21.99,27.81,30.65,34.61
Rwanda,24.92,28.51,28.54,21.97
Saudi Arabia,31.64,41.74,31.98,88.18
Serbia,25.17,29.68,30.59,35.83
Seychelles,57.61,78.56,84.24,18.03
Singapore,75.64,75.31,62.07,83.62
Slovakia,33.96,42.96,37.47,50.39
Slovenia,40.03,51.46,47.86,56.14
Somalia,22.36,44.46,26.73,27.23
South Africa,29.38,34.59,37.22,72.92
South Korea,53.35,99.84,43.98,76.6
Spain,42.13,48.74,56.99,62.68
Sri Lanka,20.42,36.47,16.54,20.77
Suriname,32.06,50.39,62.59,16.47
Sweden,54.76,71.67,77.23,90.55
Switzerland,95.1,133.36,126.08,110.96
Syria,17.87,28.38,23.48,8.08
Taiwan,42.64,79.11,28.8,56.08
Tanzania,24.33,30.62,25.16,16.05
Thailand,33.56,50.64,24.19,31.36
Trinidad And Tobago,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,53.09,52.21,39
Tunisia,18.16,28.48,15.75,27.81
Turkey,19.35,28.11,19.91,35.35
Uganda,20.29,28.93,22,13.97
Ukraine,19.43,24.34,23.72,30.1
United Arab Emirates,51.61,48.84,61.25,85.74
United Kingdom,52.19,56.38,74.69,82.56
United States of America,57.21,70.24,69.42,102.58
Uruguay,33.16,40.83,48.95,30.62
Uzbekistan,18.01,23.91,21.43,21.96
Vietnam,26.63,38.32,19.03,27.26
Yemen,29.84,61.17,23.62,14.75
Zambia,17.88,27.12,16.18,59.47
Zimbabwe,31.41,45.56,39.29,22.1
