,,Human Development Index (HDI),Inequality-adjusted HDI (IHDI),Coefficient of human inequality,Inequality in life expectancy,Inequality-adjusted life expectancy index,Inequality in education,Inequality-adjusted education index,Inequality in income,Inequality-adjusted income index
,,Value,Value,,(%),Value,(%),Value,(%),Value
HDI rank,Country,2021,2021,2021,2021,2021,2021,2021,2021,2021
180,Afghanistan,0.478,0.382,..,26.2,0.477,45.4,0.210,..,..
67,Albania,0.796,0.710,10.8,6.8,0.810,12.3,0.682,13.2,0.649
91,Algeria,0.745,0.598,19.1,12.4,0.760,33.3,0.451,11.5,0.626
40,Andorra,0.858,0.794,..,5.3,0.880,10.0,0.649,..,..
148,Angola,0.586,0.407,30.4,28.2,0.460,34.2,0.341,28.9,0.430
71,Antigua and Barbuda,0.788,0.636,..,4.7,0.857,..,..,..,..
47,Argentina,0.842,0.720,13.8,7.6,0.787,5.8,0.818,28.1,0.580
85,Armenia,0.759,0.688,9.1,7.0,0.744,2.9,0.720,17.4,0.609
5,Australia,0.951,0.876,7.6,2.7,0.966,3.1,0.896,17.1,0.776
25,Austria,0.916,0.851,6.9,3.3,0.917,2.5,0.832,14.9,0.808
91,Azerbaijan,0.745,0.685,7.9,11.3,0.673,3.6,0.700,8.9,0.683
55,Bahamas,0.812,0.739,..,8.7,0.724,6.9,0.726,..,..
129,Bangladesh,0.661,0.503,23.1,15.5,0.681,37.3,0.371,16.6,0.504
70,Barbados,0.790,0.657,15.7,8.0,0.815,5.5,0.722,33.6,0.483
60,Belarus,0.808,0.765,5.3,3.3,0.780,2.8,0.803,9.6,0.715
13,Belgium,0.937,0.874,6.6,3.6,0.918,5.9,0.859,10.3,0.848
123,Belize,0.683,0.535,20.7,9.2,0.705,14.8,0.559,37.9,0.389
166,Benin,0.525,0.334,36.1,32.7,0.413,43.7,0.249,32.0,0.363
127,Bhutan,0.666,0.471,27.7,14.9,0.678,48.2,0.279,20.0,0.550
118,Bolivia,0.692,0.549,20.5,18.0,0.550,16.5,0.620,26.9,0.486
74,Bosnia and Herzegovina,0.780,0.677,13.0,4.0,0.817,14.8,0.626,20.2,0.606
87,Brazil,0.754,0.576,22.3,10.0,0.730,15.7,0.594,41.3,0.440
51,Brunei Darussalam,0.829,0.756,..,7.5,0.778,..,..,..,..
68,Bulgaria,0.795,0.701,11.4,5.2,0.756,5.9,0.721,23.0,0.633
184,Burkina Faso,0.449,0.315,29.3,31.4,0.415,39.2,0.197,17.3,0.381
187,Burundi,0.426,0.302,28.7,25.6,0.477,39.5,0.243,20.9,0.238
128,Cabo Verde,0.662,0.528,..,8.8,0.758,27.4,0.405,..,..
146,Cambodia,0.593,0.479,19.0,15.4,0.646,27.3,0.355,14.3,0.480
151,Cameroon,0.576,0.393,31.7,28.5,0.444,31.7,0.389,35.0,0.352
15,Canada,0.936,0.860,7.9,4.1,0.924,2.5,0.893,17.1,0.770
188,Central African Republic,0.404,0.240,40.1,36.0,0.334,35.2,0.238,49.2,0.174
190,Chad,0.394,0.251,36.0,38.6,0.307,42.9,0.176,26.5,0.290
42,Chile,0.855,0.722,15.0,4.9,0.862,11.7,0.732,28.3,0.596
79,China,0.768,0.651,14.8,5.3,0.848,11.7,0.573,27.4,0.567
88,Colombia,0.752,0.589,20.6,9.4,0.737,14.6,0.595,37.7,0.468
156,Comoros,0.558,0.310,43.1,25.6,0.497,47.6,0.262,56.0,0.229
153,Republic of the Congo,0.571,0.432,24.3,21.0,0.529,20.9,0.433,31.0,0.351
179,Democratic Republic of the Congo,0.479,0.341,28.7,31.7,0.412,26.8,0.371,27.6,0.260
58,Costa Rica,0.809,0.664,17.0,5.9,0.826,11.6,0.666,33.4,0.533
159,Côte d'Ivoire,0.550,0.358,34.3,30.4,0.414,45.6,0.256,27.0,0.436
40,Croatia,0.858,0.797,7.0,3.8,0.853,4.2,0.791,13.0,0.751
83,Cuba,0.764,0.649,..,4.6,0.788,9.1,0.743,..,..
29,Cyprus,0.896,0.819,8.4,2.6,0.917,9.5,0.768,13.0,0.781
32,Czechia,0.889,0.850,4.4,3.1,0.860,1.3,0.868,8.8,0.821
6,Denmark,0.948,0.898,5.2,3.0,0.916,2.5,0.909,10.1,0.870
171,Djibouti,0.509,0.348,..,25.7,0.484,..,..,27.7,0.428
102,Dominica,0.720,0.679,..,9.0,0.740,..,..,..,..
80,Dominican Republic,0.767,0.618,19.4,17.6,0.667,15.0,0.605,25.6,0.583
95,Ecuador,0.740,0.604,17.8,8.9,0.752,13.4,0.606,31.1,0.483
97,Egypt,0.731,0.519,28.0,10.7,0.690,36.9,0.443,36.5,0.457
125,El Salvador,0.675,0.548,18.6,9.5,0.706,23.8,0.450,22.5,0.517
145,Equatorial Guinea,0.596,0.435,..,30.1,0.437,..,..,..,..
176,Eritrea,0.492,0.364,..,20.3,0.571,..,..,..,..
31,Estonia,0.890,0.829,6.6,2.9,0.853,2.0,0.876,15.0,0.763
