Countries,Happiness 2021,Happiness 2020,Rank,Score Change
Afghanistan,2.523,2.567,146,-0.044
Albania,5.117,4.883,91,0.234
Algeria,4.887,5.005,107,-0.118
Argentina,5.929,5.975,56,-0.046
Armenia,5.283,4.677,84,0.606
Australia,7.183,7.223,11,-0.04
Austria,7.268,7.294,10,-0.026
Azerbaijan,5.171,5.165,88,0.006
Bahrain,6.647,6.227,22,0.42
Bangladesh,5.025,4.833,99,0.192
Belarus,5.534,5.54,73,-0.006
Belgium,6.834,6.864,20,-0.03
Benin,5.045,5.216,97,-0.171
Bolivia,5.716,5.747,68,-0.031
Bosnia and Herzegovina,5.813,5.674,63,0.139
Botswana,3.467,3.479,143,-0.012
Brazil,6.33,6.376,34,-0.046
Bulgaria,5.266,5.102,86,0.164
Burkina Faso,4.834,4.769,111,0.065
Burundi,3.775,3.775,137,0
Cambodia,4.83,4.848,112,-0.018
Cameroon,5.142,5.085,89,0.057
Canada,7.103,7.232,14,-0.129
Chad,4.355,4.423,125,-0.068
Chile,6.172,6.228,42,-0.056
China,5.339,5.124,82,0.215
Colombia,6.012,6.163,51,-0.151
Comoros,4.289,4.289,128,0
Costa Rica,7.069,7.121,16,-0.052
Croatia,5.882,5.505,59,0.377
Cyprus,6.223,6.159,38,0.064
Czechia,6.965,6.911,18,0.054
Denmark,7.62,7.646,2,-0.026
Dominican Republic,5.545,5.689,72,-0.144
Ecuador,5.764,5.925,65,-0.161
Egypt,4.283,4.151,129,0.132
El Salvador,6.061,6.348,48,-0.287
Estonia,6.189,6.022,39,0.167
Eswatini,4.308,4.308,127,0
Ethiopia,4.275,4.186,130,0.089
Finland,7.842,7.809,1,0.033
France,6.69,6.664,21,0.026
Gabon,4.852,4.829,110,0.023
Gambia,5.051,4.751,96,0.3
Georgia,4.891,4.673,106,0.218
Germany,7.155,7.076,13,0.079
Ghana,5.088,5.148,93,-0.06
Greece,5.723,5.515,67,0.208
Guatemala,6.435,6.399,30,0.036
Guinea,4.984,4.949,100,0.035
Haiti,3.615,3.721,140,-0.106
Honduras,5.919,5.953,58,-0.034
Hong Kong,5.477,5.51,75,-0.033
Hungary,5.992,6,52,-0.008
Iceland,7.554,7.504,4,0.05
India,3.819,3.573,136,0.246
Indonesia,5.345,5.286,80,0.059
Iran,4.721,4.672,116,0.049
Iraq,4.854,4.785,109,0.069
Ireland,7.085,7.129,15,-0.044
Israel,7.157,7.129,12,0.028
Italy,6.483,6.387,28,0.096
Ivory Coast,5.306,5.233,83,0.073
Jamaica,6.309,5.89,36,0.419
Japan,5.94,5.871,55,0.069
Jordan,4.395,4.633,124,-0.238
Kazakhstan,6.152,6.058,44,0.094
Kenya,4.607,4.583,119,0.024
Kuwait,6.106,6.102,46,0.004
Kyrgyzstan,5.744,5.542,66,0.202
Laos,5.03,4.889,98,0.141
Latvia,6.032,5.95,50,0.082
Lebanon,4.584,4.772,121,-0.188
Lesotho,3.512,3.653,142,-0.141
Liberia,4.625,4.558,118,0.067
Libya,5.41,5.489,78,-0.079
Lithuania,6.255,6.215,37,0.04
Luxembourg,7.324,7.238,8,0.086
Madagascar,4.208,4.166,132,0.042
Malawi,3.6,3.538,141,0.062
Malaysia,5.384,5.384,79,0
Maldives,5.198,5.198,87,0
Mali,4.723,4.729,115,-0.006
Malta,6.602,6.773,23,-0.171
Mauritania,4.227,4.375,131,-0.148
Mauritius,6.049,6.101,49,-0.052
Mexico,6.317,6.465,35,-0.148
Moldova,5.766,5.608,64,0.158
Mongolia,5.677,5.456,69,0.221
Montenegro,5.581,5.546,71,0.035
Morocco,4.918,5.095,104,-0.177
Mozambique,4.794,4.624,113,0.17
Myanmar,4.426,4.308,123,0.118
Namibia,4.574,4.571,122,0.003
Nepal,5.269,5.137,85,0.132
Netherlands,7.464,7.449,5,0.015
New Zealand,7.277,7.3,9,-0.023
Nicaragua,5.972,6.137,54,-0.165
Niger,5.074,4.91,94,0.164
Nigeria,4.759,4.724,114,0.035
North Macedonia,5.101,5.16,92,-0.059
Norway,7.392,7.488,6,-0.096
Pakistan,4.934,5.693,103,-0.759
Panama,6.18,6.305,40,-0.125
Paraguay,5.653,5.692,70,-0.039
Peru,5.84,5.797,62,0.043
Philippines,5.88,6.006,60,-0.126
Poland,6.166,6.186,43,-0.02
Portugal,5.929,5.911,57,0.018
Republic of the Congo,5.342,5.194,81,0.148
Romania,6.14,6.124,45,0.016
Russia,5.477,5.546,74,-0.069
Rwanda,3.415,3.312,144,0.103
Saudi Arabia,6.494,6.406,26,0.088
Senegal,5.132,4.981,90,0.151
Serbia,6.078,5.778,47,0.3
Sierra Leone,3.849,3.926,135,-0.077
Singapore,6.377,6.377,32,0
Slovakia,6.331,6.281,33,0.05
Slovenia,6.461,6.363,29,0.098
